"ablood","accustomed","agreed","albust","alk","almost","an","ancrusinishness","animal","answer","ap","appropriates","arm","arsher","asca","ase","baafness","back","bads","bangs","banny","bathroom","become","beeltisul","begin","benon","besime","best","black","blans","bledge","bove","brought","brubs","brush","budget","building","bulbet","business","candy","cas","chance","chanding","chareet","charks","che","cibsus","circus","clomify","cok","cold","collosks","come","complase","complete","compliment","configuration","contain","coth","cotosks","cotplicant","crit","cuppom","custom","daople","describe","destrifs","distance","dogo","dolc","doubtful","drustion","dryer","duttery","eamn","ef","elements","fafever","famous","farmer","faster","fatter","fattify","fistory","fite","flankfopper","freat","from","fror","fun","garden","garment","ge","germantia","ggnoi","ginth","give","good","grasshopper","gravel","great","groon","guarantee","guess","guoys","gurynh","hammer","hane","hello","him","history","hot","however","hu","hungry","hus","hust","imagine","imeyits","inni","inside","insows","into","invent","investigate","ip","jewel","jixel","khtna","lame","lant","left","leld","liberty","library","liffs","light","listen","loleh","loms","long","look","losh","lunch","mader","mannanency","mich","miss","molent","money","moon","more","morning","mout","mun","mystery","name","natural","naw","nied","night","nop","nuf","nulch","number","oban","om","once","open","orn","ot","overwhelm","pame","peace","pealt","pencil","people","phlere","pickle","plane","play","plays","pledge","potent","pretty","purchase","qualify","question","rackle","rebosks","resolve","reverse","roder","round","runey","sain","scays","shine","shink","short","shring","sick","sids","sint","sit","slace","slellen","snose","speveal","spu","spy","stenil","streat","street","strosh","sudsage","sun","swane","teacher","telechinct","telescoped","testify","tfaer","them","throomba","through","time","tis","toy","tried","trood","truck","trull","twew","ujst","understand","unger","uoy","utashing","wared","wase","watch","waves","we","went","whose","will","without","woft","wood","yos","ypla","subj"
2.73307,4.116355,1.446655,1.3011,1.550185,1.9588,2.332985,2.44405,1.20059,1.921395,1.5003,1.28888,2.92082,2.75094,1.1397,2.563125,2.13554,2.07269,2.45136,0.81964,1.69531,1.946735,1.81589,1.888225,1.416505,0.56707,2.308545,2.620475,1.618095,1.66546,2.263625,1.65023,1.15549,1.020215,1.70509,1.929345,1.8321,1.950595,1.354055,1.086725,2.4347,1.811995,1.51856,1.459425,1.38498,1.62154,1.927585,0.78233,3.047985,1.63648,0.1027,1.367555,1.6649,1.44142,1.17459,1.502085,1.37099,1.648955,1.654355,0.865045,1.537875,2.415715,2.650995,1.529325,1.30703,1.44987,1.735425,2.54389,1.391755,1.76699,1.648015,2.28642,2.16135,1.65279,2.52945,1.71335,2.201195,1.256025,2.886065,2.39441,1.171975,1.516795,2.96386,1.214675,1.952325,1.381135,1.76723,1.216865,1.17726,1.398285,1.873505,1.25591,1.258425,1.988345,1.88204,2.20003,1.196625,1.267115,1.6639,1.366085,1.057855,1.277655,1.51397,1.98681,2.068185,0.949705,2.00449,1.3176,1.097185,1.05274,1.31233,1.4095,1.768845,1.77861,1.75047,2.430195,2.06976,1.71927,1.56292,2.1532,2.79725,3.122085,1.22622,2.7185,2.0821,1.749365,0.93673,1.39564,1.728815,1.66879,1.909615,1.216885,2.535575,1.91686,1.23385,2.015175,2.834975,1.850095,3.58329,2.11699,1.382635,1.06638,1.566065,3.374445,0.83373,1.363125,0.984715,1.749465,2.434015,1.176695,0.69927,1.66594,1.17251,1.25846,1.51662,2.12966,2.45047,1.09847,1.87543,2.670055,1.43581,3.19945,1.71105,2.516065,5.563425,2.44136,3.06591,1.532915,1.165585,1.75098,3.270755,2.264135,2.066665,1.201125,1.393225,1.612725,1.313185,1.08232,1.76564,2.66298,1.422995,2.77596,1.76822,3.2347,3.350035,1.431645,1.232985,0.72717,1.629635,1.41344,3.64613,1.612625,3.033355,2.89625,1.884945,1.40059,2.068885,2.41477,1.25085,1.8026,1.584185,1.179885,3.149055,2.033395,1.29989,1.117435,1.966445,5.61481,1.81496,2.640525,1.653535,1.96246,1.30389,1.484095,2.033725,1.8207,1.083525,1.698605,2.136135,2.098285,1.3502,2.385905,1.242895,1.36512,2.13496,2.335125,1.29199,1.7213,1.403455,0.631105,1.51219,2.674415,1.62785,1.99845,1.722605,1.519715,3.86559,1.8004,1.70343,1.148195,0.613295,1.19314,1.919935,1.300275,1.320135,1.20067,1.233615,1.66722,2.39847,1.46763,1.707205,1.636355,121
0.151,0.38,0.239,0.367,0.132,0.2,1.133,0.398,0.465,0,0.361,0.264,1.017,0.35,0.598,0.634,0.414,0.388,0.382,0.33,0.185,0.114,0.366,0.35,0.797,0.388,0.43,1.466,0.317,0.098,0.181,0.597,0.051,0.243,0.299,0.865,0.438,0.247,0.17,0.046,0.1,0.386,0.164,0,0.064,0.083,0.415,1.9,0.414,0.133,0.284,0.63,0.364,0.832,0.329,0.664,0.363,0.379,1.78,0.4,0.3,0.63,1.798,0.414,0.255,0.298,0.296,0.374,0.183,0.621,4.512,0.134,0.064,0.38,0.277,0.663,0.075,1.184,0.539,0.179,0.162,0.4,0.08,1.033,0.213,0.431,0.331,0.281,0.229,0.534,0.296,0.905,0.431,0.698,0.001,0.183,1.388,0.203,1.129,0.434,0.422,0.217,0.412,1.63,0.252,0.331,1.186,0.604,0.531,1.285,0.449,1.116,0.399,0.45,0.165,0.932,0.343,0.262,0.569,1.536,0.13,0.346,0.499,0.064,0.412,0.496,0.881,0.499,0.084,0.299,0.331,1.416,0.064,0.217,0.416,0.43,0.03,0.243,0.232,0.179,0.415,1.429,4.4,0.216,0.281,0.346,0.584,0.226,0.313,0.33,0.462,0.001,0.131,0.364,2.083,0.218,0.215,0.584,0.33,0.353,0.084,0.302,1.23,0.4,0.212,0.268,0.297,0.501,0.342,0.296,0.331,0.398,0.298,0.367,0.081,0.479,0.219,0.129,0.664,0.33,0.5,0.383,0.03,0.197,0.264,0.287,0.246,0.396,0.346,0.179,0.297,1.335,5.403,0.351,0.298,0.33,0.083,0.51,0.364,0.195,0.313,0.363,0.485,3.099,0.046,0.333,0.097,0.137,0.018,2.219,0.216,0.344,0.302,1.199,0.178,0.031,0.099,0.497,0.229,0.383,1.067,0.199,1.216,0.48,0.431,1.138,0.647,0.299,3.073,1.031,0.531,0.364,0.045,0.381,0.031,0.545,0.423,0.351,0.216,2.296,0.817,0.417,0.284,0.168,1.151,1.114,0.433,0.18,1.081,0.43,0.647,0.051,122
0.19092,0.21924,0.07516,0.03343,0.857795,0.730575,0.465945,0.74311,1.303695,13.26699,0.163565,0.245925,2.48001,1.38702,0.60669,0.317715,0.29937,0.98102,4.42835,0.036085,0.20945,0.836055,3.55006,0.41602,1.38418,0.306575,0.749295,0.527155,0.32313,0.41055,0.059095,8.79076,0.456035,0.195255,0.110065,0.10572,0.26879,0.58311,10.65815,0.486095,0.035365,0.20055,0.345235,0.8426,0.34507,0.00137,2.51786,0.33832,0.20312,0.500525,0.1029,0.28941,0.47045,0.393175,0.318725,0.268755,0.563315,0.25013,1.134115,0.007775,0.1231,0.851675,0.53343,0.665595,0.26884,1.34868,1.354625,0.352795,0.16588,0.359155,0.676845,0.35362,0.085585,0.607235,0.20849,0.11185,0.773515,0.434745,0.243415,0.208945,1.340085,0.920045,0.332805,0.70379,0.58523,0.30903,0.68426,0.5339,1.044565,0.47921,0.921245,0.001285,0.10422,0.187225,0.166265,0.4883,0.338355,0.30208,0.156995,0.858325,0.759735,2.43627,0.29943,1.052935,0.337805,0.22724,0.684485,0.299655,0.672315,1.05656,1.36529,1.203615,0.369235,4.395285,0.209075,0.311235,0.227145,0.6402,0.296815,0.500845,0.44921,0.049835,0.311755,0.58286,0.520125,0.38396,1.390895,0.279005,0.97373,1.10409,0.14184,0.36658,0.21187,2.045295,0.32297,0.399435,0.546205,0.28661,2.19693,0.687965,0.18353,0.72212,1.359265,0.654035,0.28477,0.78414,0.37635,0.121735,0.04499,0.66533,0.233395,0.433015,2.298425,0.332335,0.733125,0.620435,0.019325,23.248945,0.504325,0.48406,0.48276,0.03996,0.19411,0.55236,0.092925,0.30831,0.773595,1.12159,2.159595,3.374595,0.28963,0.34896,0.618305,0.18289,0.608495,0.21771,0.002545,0.45949,0.932535,0.372025,0.1468,0.235465,0.143565,0.166705,1.660355,0.45117,0.341245,0.479,0.71996,1.11508,0.210835,0.965515,0.434975,0.19797,0.052705,0.10272,0.67162,0.355975,0.338985,0.315205,0.491935,0.23492,0.179715,0.602545,0.18572,0.180785,0.38145,1.150545,0.0399,0.48076,0.073385,0.49795,0.02894,4.79628,0.188505,0.204005,1.755075,1.50889,0.63955,0.664705,0.49938,0.617525,0.52569,1.239635,0.425905,0.319485,0.334055,0.22585,0.656265,0.497285,0.22885,0.017295,0.48647,0.13617,0.78845,0.019435,0.3159,0.355,2.90437,0.50022,0.33781,0.588315,0.32521,1.310245,0.488335,0.612725,0.385435,0.59788,0.323785,1.17179,0.744785,0.5936,123
1.161175,1.53074,1.367685,2.38297,1.24623,0.992425,1.131665,1.756965,2.23772,1.20628,1.829845,1.924775,1.16803,1.60861,1.64974,2.05257,1.82009,1.309115,1.50546,5.83347,1.068655,1.116695,1.7317,1.83369,1.06573,2.76565,1.356585,1.212015,1.411185,1.52509,2.593415,4.114895,1.82858,1.906285,1.64352,1.39924,1.545095,2.368865,2.201345,1.34882,1.198975,0.500525,1.53282,3.220455,1.690775,1.918815,1.1911,1.45255,1.547975,3.620425,2.31652,1.70046,1.61884,2.009555,1.46004,1.70192,4.7573,1.36233,4.77517,2.583575,1.658415,1.57969,2.81568,1.38052,1.6497,1.816085,1.418605,2.00262,1.64013,2.3218,1.587705,1.34431,1.982985,3.131295,1.39495,1.62959,1.807895,1.41224,1.840875,1.194315,1.03282,1.38369,1.535675,1.01836,1.079565,1.732675,2.1338,1.510405,1.8693,1.58315,1.865015,1.133205,1.508455,1.458645,1.935945,1.3415,1.265645,1.596625,1.840215,1.759095,1.43889,1.45396,1.39172,1.86916,2.053275,1.83968,2.62624,1.829035,0.925825,1.432295,1.794095,2.12537,1.907355,1.47852,6.385175,1.46962,0.303035,1.44979,2.493695,1.699295,1.76555,2.13435,1.90079,1.390105,1.411985,1.360255,2.1421,1.743985,2.46811,1.73211,1.382405,1.008075,1.489535,1.64939,2.389945,2.27854,1.45638,2.19318,1.567625,1.52004,1.224345,2.665595,1.9818,1.411485,1.008895,1.556295,2.525675,1.21724,2.132125,1.28096,1.883145,0.80641,1.984115,1.84818,2.140225,1.1706,1.16666,1.905425,1.275375,1.352255,1.993945,1.651705,1.3205,1.424745,1.678055,1.78353,3.08678,1.184175,1.37405,2.04106,1.7026,2.01923,2.55532,1.92761,1.44534,1.16834,2.03313,2.3994,1.19613,2.5572,1.61603,1.212495,1.39881,1.115995,2.533885,1.11566,1.649695,1.231305,2.450765,2.32728,2.54066,1.419825,1.335825,1.12002,2.978115,1.33592,1.099235,1.48319,1.001845,1.90258,1.343005,2.947755,1.354795,1.36623,1.62784,1.25254,2.692295,1.800615,2.422185,2.119545,1.928745,5.93402,1.90156,1.28923,1.79119,1.066165,1.95312,2.88436,1.465795,2.01997,1.600435,1.203255,1.637925,1.29158,2.00133,1.97217,1.733925,1.56143,2.175965,1.902265,1.9116,3.187575,1.1389,1.34975,1.494635,1.615475,2.6684,3.02907,1.358475,2.58775,1.636615,1.816245,1.41156,1.886665,1.62295,1.79298,2.1852,1.974765,1.136105,1.27218,2.105345,1.416555,124
2.669225,3.252565,2.148465,3.32359,1.868055,2.040685,1.353125,3.25576,2.16062,2.931505,1.35304,2.891625,34.56284,2.72943,4.719705,1.53676,0.85005,1.725145,1.3568,4.725775,1.833515,1.35211,1.71907,1.408385,0.90296,2.854865,1.962875,1.88044,1.44161,1.90483,2.13194,1.61586,1.684425,3.54286,1.82419,3.2023,1.233385,2.63597,1.819085,1.263175,2.768125,3.122265,4.81989,1.73686,3.238995,1.851255,6.34568,3.505625,1.71675,1.80843,1.4337,2.385995,1.16915,4.904915,1.78444,2.63453,2.817785,1.93376,1.80103,2.491525,0.599995,2.034405,2.17822,4.08915,3.30653,3.373755,5.121215,3.082785,2.625585,3.49087,4.17287,4.05857,2.716685,1.783555,2.084355,1.786255,1.977845,2.803745,4.853275,0.89012,0.519755,1.897325,3.50834,3.240565,4.73534,2.69223,3.27154,1.817435,1.793025,0.95112,2.76828,13.226285,1.77372,2.40274,1.36784,10.31597,1.82197,1.101825,3.79343,2.23923,4.235995,2.437485,0.891505,2.553465,12.6431,2.61865,1.81999,2.20328,1.14905,1.64102,2.600925,4.9392,1.88922,1.581705,1.985565,1.85013,4.149,4.38629,1.670795,3.15304,1.457035,1.868775,2.11692,3.90199,5.425085,1.5779,3.295905,2.421015,1.75158,2.013645,0.23588,0.335945,2.184585,0.742645,1.856085,3.927165,2.14328,1.72156,2.88514,1.534565,0.34932,1.418875,1.6199,1.287835,1.65142,2.006425,0.48788,3.07001,3.069385,1.170375,1.377145,1.248375,0.983715,1.868155,1.737415,1.51732,1.260165,3.52538,1.27981,1.86271,1.75114,1.88038,1.40396,4.221585,1.23696,2.61804,0.500385,0.990155,3.608425,3.07571,1.289255,1.731415,2.209235,1.564815,2.55019,3.01874,1.18525,2.483935,3.459405,1.858255,1.48173,2.48694,0.080455,2.41812,1.819565,3.167165,3.83534,2.12268,2.60414,1.98741,3.583355,0.566565,1.834225,2.50629,4.442755,1.633945,2.41774,1.837725,3.3768,1.66445,2.19271,2.31616,1.86779,1.71653,0.354135,4.738025,0.9336,2.436015,4.294665,1.95004,1.760335,2.4533,1.625745,1.68822,1.66743,2.205505,1.036595,2.140455,7.15257,1.718185,2.451215,3.218365,3.924805,1.65142,2.02522,20.16393,1.970045,1.61949,1.21919,0.11838,2.32567,1.26693,2.10192,0.282285,3.221725,1.202435,6.743605,1.23431,2.800515,2.249755,1.98447,1.21546,2.04137,1.269615,1.0549,1.85776,1.633835,1.53637,2.536985,1.07527,1.937505,3.774,125
0.333075,0.365385,6.46732,0.51519,0.489975,0.31672,0.131945,0.232225,0.345505,0.718625,0.01227,0.88676,0.51604,1.12881,0.26271,0.480415,8.44901,0.39786,0.332005,0.22846,0.549285,0.177435,0.49568,0.89856,0.0845,0.631105,0.31858,0.5896,0.56429,1.448765,1.21618,0.529655,0.596875,1.2179,0.487795,0.984985,0.316675,0.38184,0.63324,0.18112,0.466765,1.486265,0.11766,0.35067,0.178435,1.09811,0.678265,0.350275,2.224025,0.266105,0.25144,0.36121,0.083835,0.27737,0.633295,0.281285,0.084695,0.181645,1.200515,0.524275,0.069465,0.149865,2.61672,1.398115,1.650055,0.60047,0.96416,0.633055,0.780045,1.298225,0.565755,0.68124,0.775785,0.81316,0.53345,6.093595,0.146385,0.21536,23.53229,1.86131,0.267685,0.799585,2.41497,1.470605,5.96874,0.830535,0.12772,0.186145,1.713335,0.415905,2.234845,0.31613,0.532055,0.8344,1.318805,1.21519,0.1843,0.679195,1.049565,0.06049,0.000685,2.58671,0.653025,6.86742,0.185265,0.800015,0.43483,0.167575,0.037825,0.134565,0.77913,0.495015,6.946055,0.68368,0.080765,0.13368,0.45542,0.33339,0.433705,5.297925,0.750215,0.447635,0.112145,1.349655,0.000845,0.86655,0.469495,0.41647,0.06604,1.0157,0.80386,0.51625,1.453815,0.233205,1.9693,0.72894,0.0461,1.322065,0.397335,1.07905,0.552855,0.52029,0.199715,1.403135,0.13039,0.36688,0.1979,2.049905,0.21666,7.26205,0.016425,1.77788,0.18273,0.401155,0.58427,2.580185,0.350435,0.117745,0.345325,1.630455,33.130785,0.465915,0.31937,1.435115,0.53344,0.06505,0.15007,0.78283,0.90233,0.5863,0.384035,0.30501,0.255815,0.601975,0.367855,16.8145,0.535885,0.61717,8.2106,0.15235,3.23667,0.099505,0.10027,0.238185,0.36588,2.733645,0.23535,0.03433,0.23101,0.09973,1.01289,0.48258,0.63363,0.987135,0.13027,15.45519,0.246305,0.183425,4.11814,0.04814,0.396305,0.984585,0.264935,0.37117,2.49541,0.56799,1.06739,0.80008,0.195635,1.21308,0.00077,1.09805,0.06844,0.77919,0.71602,0.620755,0.078145,0.748735,0.59764,0.732675,0.696745,1.962565,1.51779,0.613485,0.63296,0.51698,0.342465,18.56718,1.13837,0.1477,1.367155,0.183365,1.944005,0.463655,1.01251,0.4509,0.31981,0.96904,1.834395,0.96657,0.420505,0.11909,2.486325,0.027525,0.4493,0.86505,7.286145,1.649395,0.43209,0.319455,0.768455,1.066375,126
0.99546,1.29958,1.58503,0.499945,0.369285,0.727215,0.554425,1.66777,2.98319,0.62837,0.38217,0.427615,0.63715,0.61551,0.850345,3.41488,0.90976,1.501465,0.57369,0.6404,1.598355,0.723895,0.95304,1.43843,0.35314,0.545195,0.696575,0.36754,0.684875,1.83287,1.231805,0.51655,0.650035,0.527955,0.488215,0.544005,0.71779,1.53598,0.950315,0.47869,0.687775,0.567275,0.28112,0.73284,0.34514,1.85167,0.367865,1.30267,0.89099,0.418195,0.751055,0.41711,0.5356,1.02286,0.535445,0.87914,0.42803,0.61322,1.3518,0.42071,1.242595,1.335305,1.42141,1.498035,2.402585,0.38399,0.693825,2.18078,0.399675,0.45089,0.59949,0.65127,0.543865,0.617415,1.513155,1.48812,0.465135,0.734735,1.013065,0.38379,0.587365,0.501605,0.6956,0.85243,0.47813,0.46758,0.42744,0.550155,0.53317,0.42862,0.89598,0.468955,1.304585,0.412415,0.56656,1.43458,0.844355,1.15291,0.716505,0.716695,1.25866,0.35011,0.91293,1.1276,0.413385,0.47981,0.520685,0.42725,1.8023,0.468365,1.115335,0.767075,0.368395,2.19565,0.61108,1.322885,0.97264,0.52769,0.794645,1.001535,1.584385,0.40006,0.549165,0.638745,0.39828,0.886245,0.897435,0.873305,0.95209,0.424865,0.40019,1.61643,0.47633,0.638525,1.363315,0.459755,0.41654,1.46373,0.51152,0.79098,0.334545,0.43445,0.998045,0.528475,0.954735,1.287455,1.13518,1.61262,0.85239,0.29436,2.731245,0.604635,0.84178,0.67662,1.535055,0.36506,0.79165,1.31224,1.12207,0.734475,1.45252,0.3852,1.117825,0.47096,0.904095,0.950245,1.2855,0.40076,0.414945,0.717585,1.397705,0.399855,0.449935,0.63835,0.471765,0.58335,0.400825,1.338055,0.467695,0.750955,0.368215,0.87671,1.10416,0.518165,0.49558,0.964935,1.37921,1.539585,0.46241,0.566285,0.50101,0.899805,0.818795,1.052825,0.46896,3.363695,0.332565,0.566395,0.533375,1.63691,0.75037,0.40032,0.83383,0.646625,0.599935,1.01792,0.569305,1.064795,0.45341,0.397975,0.43005,0.382565,0.801815,1.67477,0.467835,1.980385,0.510855,0.36753,0.756835,1.217245,0.935285,1.089095,0.550625,1.26799,0.383375,0.748875,0.99529,0.86268,0.450575,0.834885,0.37156,1.319385,3.06998,1.7353,1.08461,0.399855,0.483295,0.52134,0.52856,0.686635,1.86794,0.534155,0.38555,1.151755,1.59032,3.98534,1.19053,1.095395,0.529525,1.235105,0.535385,0.417675,127
7.3629,2.756985,0.814385,4.04435,1.888155,3.13226,4.54813,0.99844,5.671705,2.38592,1.852985,0.38231,2.389685,5.47011,2.01703,19.001125,1.74944,1.199125,1.506985,1.766195,2.259115,1.960195,0.69876,0.613215,3.30687,8.37011,0.882165,10.749305,2.323565,1.171145,1.232115,1.447735,0.716075,3.817145,15.878265,0.598895,13.85069,1.68451,3.53476,2.84324,5.27163,1.31975,0.514285,0.56526,1.500575,4.30326,0.898835,8.771985,3.36807,3.6365,30.88433,0.620955,24.234715,15.48217,1.13139,1.45608,0.939275,0.0166,0.90336,1.6896,14.78397,1.99692,1.96642,0.351265,4.32453,1.81812,10.60668,1.29916,1.350385,17.724135,15.367975,4.096335,0.461565,0.35264,0.73291,4.591265,1.01374,12.4141,15.395285,1.42153,1.919245,2.18407,0.963915,1.380505,9.77307,13.727225,1.77564,1.05127,1.578335,1.707265,3.033575,16.915935,0.43456,0.382375,8.60615,0.80069,26.01917,0.636455,12.770245,0.518655,33.7144,0.93375,1.14083,1.586235,1.065825,3.59326,0.54131,1.69728,1.301335,1.73343,2.467795,2.34968,11.691075,0.948465,2.15096,1.67439,2.88842,3.30326,1.316275,8.589205,1.57343,10.270695,3.489925,2.168855,3.133905,1.139835,1.787715,13.15867,1.54616,2.80425,18.762285,19.20026,0.935365,16.9158,7.693505,3.96164,0.78481,2.50029,1.49618,0.974005,28.76573,6.517135,1.034865,1.7034,6.725845,8.65321,9.603155,3.63422,2.176095,2.001555,37.28677,1.982685,3.45172,1.25505,1.58459,1.181355,3.90425,1.042115,1.31382,2.78522,3.307635,1.98313,7.80217,1.02419,1.816,2.166755,1.634445,0.74307,0.78204,4.034755,1.18822,1.53823,1.804485,4.285705,0.883665,12.36403,1.98735,19.546245,0.91775,59.83779,0.94921,0.798555,1.319555,0.136555,1.659615,0.81853,1.764,0.173155,1.268765,0.275035,6.408605,0.685415,14.43359,0.564915,1.88332,3.15914,1.381565,1.216295,2.349225,2.00338,9.60703,1.24248,10.127705,3.53751,1.10187,0.785885,2.409905,1.372615,15.202475,8.605345,1.231725,7.165565,5.337255,1.249065,1.6932,1.536475,0.46612,1.64443,1.65149,5.724755,0.57328,2.267015,9.27416,1.4335,3.1391,9.591565,1.78318,4.379035,7.12037,11.75613,2.849455,6.66226,0.76383,2.734305,3.63485,55.695475,23.723865,1.817275,1.416325,2.949965,0.49778,2.333725,0.465085,1.49967,14.376775,1.58502,3.538905,2.272465,1.520345,2.4832,14.47637,4.33834,128
1.65688,1.175,0.90412,2.101785,1.23902,1.186475,1.35129,1.73056,0.85327,1.056395,0.8984,1.67703,0.800525,1.21619,1.09667,1.018555,1.000325,0.028575,0.612515,2.30781,1.637335,0.839255,1.205335,1.10766,1.150315,1.34574,0.815325,0.91844,1.530195,1.074255,2.05656,1.554665,0.855295,3.609785,1.265,1.140695,0.80808,1.53151,0.80475,1.204975,1.50593,1.515825,1.2993,2.21072,1.51624,1.326335,0.91634,0.98982,1.087865,1.524225,0.61469,1.464975,0.864105,0.766405,0.82489,1.26428,1.23055,3.69483,2.31656,1.377765,2.1675,1.03339,0.95667,2.140955,1.68348,0.75916,1.19818,2.416365,1.335895,0.793985,1.269945,1.55689,1.104895,0.904415,0.87205,1.404965,1.314515,1.117795,0.703635,0.666235,0.933045,1.61976,1.025605,1.05589,1.360875,1.178,1.56932,2.72438,0.799675,0.882255,1.738465,2.618975,2.59967,0.86279,0.64994,1.56483,0.623745,0.665515,0.646415,0.76808,0.67452,1.62013,0.71682,0.839135,1.2626,1.69834,1.03763,1.784675,0.86634,0.52399,0.832255,1.22481,0.82004,0.915205,1.166895,1.09943,0.81823,1.17723,1.772055,1.08346,0.86801,0.999295,1.584655,1.676395,1.917675,1.083705,1.237905,0.86592,1.684275,1.166805,2.946375,0.784155,0.917385,1.54099,0.85254,1.737535,0.786535,0.8176,2.033335,1.465945,0.947575,1.34016,0.86988,0.69391,1.03296,1.365655,0.665545,1.049305,1.01821,2.177785,0.590045,1.194845,1.05717,1.14071,1.185995,0.73303,1.48278,1.03389,0.13322,0.9471,1.70846,1.60596,0.835575,1.68825,0.94688,0.741755,1.18182,0.97515,0.955775,0.93279,0.630695,1.84691,2.34922,1.049395,1.381975,1.591435,0.862665,0.882065,0.74363,0.92408,1.29335,1.48132,1.375795,1.76394,1.36784,0.92782,1.085555,1.275335,1.27393,1.525205,1.30065,0.85718,1.78538,0.687465,2.053965,1.253755,1.528225,1.23831,1.40035,1.44808,1.037995,1.417545,1.103755,1.376955,0.975935,1.182795,1.11165,1.900995,1.16735,0.81913,1.227475,0.98764,1.29654,0.93574,1.03101,0.81504,1.01423,1.615145,0.722705,1.718625,1.27889,0.86956,0.95389,0.92095,1.33535,1.402365,1.409975,1.13452,0.99615,0.935095,1.257885,0.9111,0.92495,3.696045,0.97024,1.637735,1.13565,0.92793,2.126235,1.445895,1.20395,0.936065,1.55572,0.60217,1.05554,0.74914,1.08167,0.81624,4.3994,1.22778,1.19253,0.927855,129
0.652105,0.018855,1.08324,0.132525,1.0843,0.58467,0.35184,0.45118,1.05124,39.669325,0.36955,2.050665,0.468345,0.40007,0.56764,1.05124,0.43114,1.366705,1.61796,0.18384,0.902665,0.119285,0.852145,1.033805,0.7013,0.301515,1.364275,1.200565,2.0494,0.73452,0.39936,0.60175,0.950345,5.499165,1.084015,0.066125,4.69869,1.083925,2.21917,0.51859,0.70093,0.369275,0.539055,0.1539,0.983225,0.56653,0.503045,1.06648,0.07309,0.118565,0.401385,0.37003,0.43357,0.18311,2.316005,0.351385,0.518595,0.732715,1.38526,0.535715,1.583725,1.367305,0.71808,0.9712,0.252545,0.45275,1.84111,0.6179,0.702765,0.4174,0.55361,0.38502,1.914795,0.900255,0.166345,0.50127,0.76851,1.301485,0.23503,0.968275,1.07138,0.505145,3.4285,0.085115,0.60133,0.80174,0.35227,1.61667,0.349905,1.41668,0.91819,0.48758,0.511805,0.583835,1.333525,0.319185,0.518205,0.450095,0.40258,0.733805,2.411485,0.81805,0.333825,0.8354,0.58402,0.50203,0.549645,0.214455,0.30165,0.26494,0.268,0.60262,0.38492,0.29776,0.450585,1.01672,0.45137,0.46644,0.137485,1.15082,0.368135,0.734205,0.965985,3.09992,1.300605,0.840625,0.414835,0.451825,0.51884,0.550045,0.41784,1.148635,0.56776,0.73306,0.35122,0.681485,0.038865,1.033055,0.867935,1.449285,0.4369,0.60716,3.58298,1.516115,0.00128,2.299495,0.884685,0.633645,0.500425,1.01784,0.581945,0.41951,0.73342,0.419025,1.012645,1.367465,0.232465,0.799485,0.399,1.61659,1.11661,9.5933,0.73396,1.732285,0.368605,1.34979,1.134095,0.400745,0.40696,0.29973,0.98719,0.24712,0.53446,0.43357,0.315885,0.93194,0.672045,0.88506,1.517565,0.36833,3.731785,0.31804,0.635805,0.84971,0.568415,0.551555,0.90405,0.0998,0.085175,0.319675,0.801885,0.48459,0.233865,0.684355,0.33464,0.352225,0.36757,4.60002,0.40017,0.374715,1.26672,0.350255,0.13687,0.417295,2.57365,0.449465,0.71673,0.28509,0.38434,0.568545,0.03473,1.999785,0.834985,0.38413,0.36801,1.158965,0.534625,0.417205,1.101175,0.434625,0.834665,0.96767,0.73711,1.066485,0.467085,2.965195,0.866825,0.667325,0.118835,0.39922,2.79896,0.471565,1.732495,0.915605,0.46762,0.070935,0.172825,1.603325,0.623025,0.96818,1.28363,0.799935,1.3654,0.40217,1.48304,2.700205,0.53597,2.28767,0.468995,0.46158,2.38254,0.799015,130
