"","subj","pcor","f1PL","f2PL1PL","f2PL"
"1",44,0.492,-4.74926310397764,-4.74358096941463,-2.64958357254334
"2",87,0.498,-4.73391324948318,-4.74415957449609,-2.92104899895631
"3",52,0.518,-4.67912737117139,-4.68898020718734,-3.00337345789435
"4",58,0.522,-4.65910149645444,-4.66861003677008,-3.10099820865072
"5",95,0.522,-4.68174447863219,-4.69056883570549,-2.96839441984643
"6",60,0.53,-3.99697270095426,-4.0099031647041,-2.31418133791481
"7",109,0.544,-3.19838574614714,-3.21407471340276,-2.08113554782565
"8",62,0.56,-3.80403869178076,-3.79097327282454,-2.15286459885594
"9",92,0.56,-4.02582268221862,-4.04008646645112,-2.52363827713138
"10",113,0.562,-3.86191581742911,-3.87674315791228,-2.23833248458912
"11",72,0.586,-3.43661806446409,-3.45239014527898,-2.10312964908262
"12",36,0.592,-3.2234673623893,-3.24097461427051,-2.01628104114605
"13",73,0.602,-2.38350672781525,-2.39482534012457,-1.65434375484284
"14",104,0.61,-3.87444276986276,-3.89352514058373,-2.66860906373331
"15",118,0.618,-2.46480547385692,-2.4748136204432,-1.62018969649252
"16",51,0.626,-2.4931302886831,-2.47789259318331,-1.86511003797995
"17",26,0.64,-2.46798730690857,-2.47981440895356,-1.67328244774307
"18",11,0.666,-1.96156214511294,-1.9431766633899,-1.41272713294438
"19",66,0.674,-1.65243436030682,-1.66302875340665,-1.23756257644449
"20",69,0.674,-2.22810139131567,-2.24015539644908,-1.69748007508095
"21",78,0.684,-1.64300587388491,-1.62583925874716,-1.28673599565846
"22",61,0.686,-1.44675861058156,-1.45627551412477,-1.23434426665451
"23",94,0.692,-1.54219006838287,-1.55099169406261,-1.18984904417198
"24",108,0.694,-1.47836512597813,-1.45985381180626,-1.24083308736853
"25",24,0.696,-1.23189967334028,-1.23981397713837,-1.07245053401563
"26",96,0.696,-1.33914584380173,-1.32152252417336,-1.08277820997297
"27",80,0.698,-1.40954817448421,-1.41819214005624,-1.17022743604343
"28",39,0.708,-1.26762648466051,-1.27648776990499,-1.17199820360897
"29",105,0.714,-0.878984979019909,-0.887686289180417,-0.987137772957566
"30",28,0.718,-1.22455397089035,-1.23395747051575,-1.04977551308008
"31",101,0.724,-1.28634432147725,-1.29499870481573,-1.11325533898267
"32",7,0.748,-0.669325614653494,-0.676574036599695,-0.813169152017436
"33",89,0.752,-1.04664990232885,-1.05550276870895,-1.02855307065716
"34",111,0.76,-0.772326842271003,-0.78039540424773,-0.868448997629196
"35",91,0.762,-0.815993383318555,-0.82545747552177,-0.836059920146032
"36",99,0.77,-0.773043159969568,-0.74865938532631,-0.787417370163176
"37",71,0.774,-0.58891430181082,-0.596182178226055,-0.813002627421104
"38",25,0.776,-0.306574831253547,-0.313417265588826,-0.793332142519617
"39",49,0.776,-0.193862340595376,-0.200629186831556,-0.602237688826327
"40",20,0.782,-0.658641322392958,-0.633308903546868,-0.88307284589204
"41",48,0.784,-0.316391587798667,-0.324212419904777,-0.749741528742628
"42",9,0.786,-0.456070323842631,-0.46401343472211,-0.790894626352952
"43",47,0.798,-0.245378053012817,-0.216963620139519,-0.628327594681359
"44",103,0.8,-0.402623703274621,-0.41139186114542,-0.753569369144139
"45",35,0.802,-0.212784412357782,-0.219828797065165,-0.779556676016309
"46",14,0.806,-0.119177354314519,-0.126336245757861,-0.603772221509181
"47",81,0.806,-0.462167033662134,-0.470358441097908,-0.78282749085754
"48",84,0.806,-0.471972157805562,-0.479598932127683,-0.679638416919163
"49",30,0.808,-0.173473679926827,-0.180682734816366,-0.641689229433208
"50",112,0.81,0.0195098901404612,0.0139870766778463,-0.59576445499957
"51",21,0.814,-0.268278197696242,-0.276338967502965,-0.606871413611553
"52",59,0.814,-0.1912835250736,-0.198656049471706,-0.625943151455965
"53",100,0.814,-0.202222246306894,-0.209377227309211,-0.5993026006445
"54",2,0.816,-0.240156840242336,-0.247974489063925,-0.717746935827644
"55",55,0.816,0.034869893286139,0.0723168462511065,-0.593172239536022
"56",13,0.826,0.420225436620096,0.415141791426575,-0.599578414850758
"57",50,0.826,0.000605951636059961,0.0355513688425518,-0.619475970179237
"58",90,0.832,0.306455577327779,0.300223120314158,-0.447053285001567
"59",22,0.836,0.0925138212319727,0.0864181893314043,-0.602669265292785
"60",117,0.836,0.420897989315621,0.415813937574093,-0.420620295099889
"61",85,0.838,0.292506834826469,0.287304577776127,-0.400892681464214
"62",23,0.84,0.215375649480033,0.209850663792113,-0.597220519657066
"63",42,0.85,0.333369369635399,0.328113592642264,-0.601324227488201
"64",79,0.85,0.535306526718021,0.530443636444585,-0.397027509368445
"65",88,0.85,0.251130235668197,0.290560598937398,-0.402746789758205
"66",8,0.852,0.280792419248227,0.274941739752916,-0.415963867233427
"67",32,0.852,0.382118939226283,0.421912967985793,-0.598957583396754
"68",43,0.852,0.541874440664897,0.536853085140584,-0.401156341471375
"69",67,0.852,0.398036020640499,0.391660322368348,-0.596164058295669
"70",119,0.852,0.364069951379446,0.358289836161542,-0.59902648748295
"71",3,0.854,0.290112297206154,0.28454739033814,-0.608373837974547
"72",116,0.854,0.230466476658464,0.224731104725746,-0.600451337137561
"73",70,0.856,0.454010930509307,0.496248083497788,-0.397108803703887
"74",19,0.86,0.538090204333793,0.532103866016035,-0.370236185362146
"75",56,0.864,1.19299123175788,1.18958254481191,-0.378162134701229
"76",77,0.864,0.0422970872251181,0.035242516042459,-0.585523959335922
"77",17,0.866,0.545019611167875,0.593358784324855,-0.253687042078
"78",53,0.866,1.179070531389,1.17586389797904,-0.385043718044247
"79",75,0.866,0.536718402078356,0.531038656224536,-0.416362539909642
"80",86,0.868,0.92593832402707,0.92242964453496,-0.292300831176339
"81",110,0.87,0.391497942592897,0.385474996257867,-0.488926116821668
"82",29,0.872,0.710563883750965,0.706102416797253,-0.363549380216301
"83",37,0.872,0.394900479928861,0.389301338162058,-0.354920212091231
"84",40,0.872,0.964330640289378,0.960711974188747,-0.396054464733825
"85",54,0.872,0.787161297035177,0.782648715674293,-0.399121118292983
"86",114,0.874,1.01180274097959,1.00798642293236,-0.207189342561233
"87",6,0.878,1.14699671231967,1.14343884573118,-0.201995609347812
"88",31,0.88,1.10296661684912,1.09935414548117,-0.2429281284258
"89",65,0.88,1.22320142622462,1.21973223285374,-0.207008959507005
"90",68,0.882,1.05449193292595,1.05087518287004,-0.10530716634214
"91",107,0.89,1.16749172222702,1.23283287710835,-0.155956209342312
"92",38,0.894,1.15541418295898,1.15271046187586,-0.243054258806776
"93",33,0.896,1.43064630421936,1.42806549254874,-0.0880781928791151
"94",5,0.898,1.23896908781306,1.30814230597473,-0.0504160934346759
"95",18,0.898,1.51511595096342,1.51292355131703,-0.0747375508156399
"96",74,0.906,1.78482038768988,1.78267909411823,-0.0252245711146668
"97",57,0.908,1.34832929010033,1.34536329034329,-0.203437859635465
"98",46,0.91,1.44129622837555,1.43853643801037,-0.0444128830853507
"99",41,0.912,1.72642576685487,1.72420520080182,0.156348616352735
"100",45,0.914,1.27416850235285,1.27103299468367,-0.0911783356735441
"101",63,0.914,2.43601514480995,2.43493504330126,0.336556903531736
"102",98,0.914,1.44982241832723,1.44772952651289,-0.00789114114520149
